               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,             0.03972,           0.0027084,                   0,             0.77209,             0.65786,             0.71693,             0.44099,            0.033114,            0.001665,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.039707,            0.002686,                   0,             0.77963,             0.65431,             0.71706,              0.4412,            0.033116,           0.0016639,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.039937,           0.0027162,                   0,             0.77762,             0.65654,             0.71755,              0.4411,            0.033115,           0.0016628,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.039643,           0.0026699,                   0,             0.78667,             0.65075,             0.71836,             0.44174,            0.033105,           0.0016613,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.039463,           0.0027035,                   0,              0.7865,             0.65167,             0.71881,             0.44197,            0.033099,           0.0016599,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.039624,           0.0026898,                   0,             0.79125,             0.65043,             0.71972,              0.4422,            0.033094,            0.001659,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.039547,           0.0027178,                   0,             0.79225,             0.65002,             0.71957,             0.44249,            0.033084,           0.0016576,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.039822,           0.0027505,                   0,             0.79131,             0.65019,             0.71974,             0.44301,            0.033099,           0.0016569,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.039359,           0.0027097,                   0,             0.78111,             0.65831,             0.72011,             0.44314,            0.033108,           0.0016572,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.039496,           0.0027306,                   0,             0.77335,             0.66496,             0.72072,             0.44298,            0.033119,           0.0016565,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.039678,            0.002708,                   0,             0.77678,             0.66331,             0.72036,             0.44314,            0.033116,           0.0016557,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.039577,           0.0027152,                   0,             0.78036,             0.66158,             0.72077,             0.44354,            0.033111,            0.001655,                   0,            0.008053,            0.008053,            0.008053
                  61,             0.03952,           0.0026978,                   0,             0.78072,             0.66215,              0.7207,             0.44391,            0.033101,           0.0016544,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.039448,           0.0027343,                   0,             0.77946,             0.66426,             0.72144,             0.44462,            0.033093,            0.001653,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.039218,           0.0027093,                   0,             0.78358,             0.66258,             0.72127,             0.44442,            0.033087,           0.0016525,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.039088,            0.002696,                   0,             0.77478,             0.66859,             0.72125,             0.44515,            0.033064,           0.0016512,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.039223,           0.0026919,                   0,             0.78113,             0.66636,             0.72217,             0.44539,            0.033048,           0.0016508,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.039759,           0.0027155,                   0,             0.78157,             0.66571,             0.72178,             0.44546,            0.033036,           0.0016505,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.039408,           0.0026717,                   0,             0.78024,              0.6662,             0.72199,              0.4458,            0.033025,           0.0016495,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.038806,           0.0026922,                   0,             0.77765,             0.66793,             0.72211,             0.44567,            0.033006,           0.0016487,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.039166,           0.0026905,                   0,             0.78315,             0.66446,              0.7222,             0.44562,               0.033,           0.0016475,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.038876,            0.002696,                   0,             0.78165,             0.66612,             0.72321,               0.446,            0.032981,           0.0016468,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.039167,           0.0026377,                   0,             0.78309,             0.66669,             0.72352,             0.44636,            0.032957,           0.0016457,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.039539,           0.0026892,                   0,             0.78285,             0.66747,             0.72399,             0.44661,            0.032945,           0.0016451,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.038769,           0.0026714,                   0,              0.7853,             0.66753,             0.72477,             0.44732,            0.032921,           0.0016437,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.039177,           0.0027008,                   0,             0.78293,             0.66876,             0.72477,              0.4478,            0.032901,           0.0016425,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.038868,           0.0026715,                   0,             0.78365,             0.66835,             0.72531,             0.44813,            0.032879,           0.0016415,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.039093,           0.0026755,                   0,             0.78488,             0.66828,             0.72614,             0.44816,            0.032858,           0.0016401,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.038934,           0.0026769,                   0,             0.79095,             0.66348,              0.7259,             0.44864,            0.032832,            0.001639,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.039028,           0.0026552,                   0,             0.79177,             0.66397,             0.72596,             0.44905,            0.032801,           0.0016378,                   0,            0.007459,            0.007459,            0.007459
                  79,             0.03878,           0.0026624,                   0,             0.79408,             0.66405,              0.7264,             0.44938,            0.032774,           0.0016366,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.038997,           0.0026292,                   0,              0.7916,             0.66612,             0.72688,             0.44954,            0.032759,           0.0016355,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.038389,            0.002622,                   0,             0.79168,             0.66612,             0.72732,             0.44972,            0.032734,           0.0016347,                   0,             0.00736,             0.00736,             0.00736
