,VIRT,RES,SHR,CPU%,% Run,File
21,2.139688,0.425068,80.412,8.6,61.00824146419779,yolo_192-fp16.tflite_d1_m2_t1.log
22,2.139688,0.425068,80.412,8.6,61.28652467087659,yolo_192-fp16.tflite_d1_m2_t1.log
23,2.139688,0.425068,80.412,9.2,61.58621427806914,yolo_192-fp16.tflite_d1_m2_t1.log
24,2.139688,0.425068,80.412,8.6,61.86449748474793,yolo_192-fp16.tflite_d1_m2_t1.log
25,2.139688,0.425068,80.412,8.9,62.153483891683614,yolo_192-fp16.tflite_d1_m2_t1.log
26,2.139688,0.425068,80.412,9.3,62.453173498876154,yolo_192-fp16.tflite_d1_m2_t1.log
27,2.139688,0.425068,80.412,8.9,62.74215990581183,yolo_192-fp16.tflite_d1_m2_t1.log
28,2.139688,0.425068,80.412,8.9,63.03114631274751,yolo_192-fp16.tflite_d1_m2_t1.log
29,2.139688,0.425068,80.412,8.6,63.309429519426295,yolo_192-fp16.tflite_d1_m2_t1.log
30,2.139688,0.425068,80.412,9.2,63.60911912661885,yolo_192-fp16.tflite_d1_m2_t1.log
31,2.139688,0.425068,80.412,8.9,63.89810553355453,yolo_192-fp16.tflite_d1_m2_t1.log
32,2.139688,0.425068,80.412,8.9,64.1870919404902,yolo_192-fp16.tflite_d1_m2_t1.log
33,2.139688,0.425068,80.412,8.9,64.47607834742588,yolo_192-fp16.tflite_d1_m2_t1.log
34,2.139688,0.425068,80.412,8.9,64.76506475436155,yolo_192-fp16.tflite_d1_m2_t1.log
35,2.139688,0.425068,80.412,8.6,65.04334796104035,yolo_192-fp16.tflite_d1_m2_t1.log
36,2.139688,0.425068,80.412,8.9,65.33233436797602,yolo_192-fp16.tflite_d1_m2_t1.log
37,2.139688,0.425068,80.412,8.9,65.6213207749117,yolo_192-fp16.tflite_d1_m2_t1.log
38,2.139688,0.425068,80.412,8.6,65.89960398159049,yolo_192-fp16.tflite_d1_m2_t1.log
39,2.139688,0.425068,80.412,8.9,66.18859038852617,yolo_192-fp16.tflite_d1_m2_t1.log
40,2.139688,0.425068,80.412,8.9,66.47757679546183,yolo_192-fp16.tflite_d1_m2_t1.log
41,2.139688,0.425068,80.412,8.6,66.75586000214064,yolo_192-fp16.tflite_d1_m2_t1.log
42,2.139688,0.425068,80.412,8.9,67.04484640907631,yolo_192-fp16.tflite_d1_m2_t1.log
43,2.139688,0.425068,80.412,9.3,67.34453601626886,yolo_192-fp16.tflite_d1_m2_t1.log
44,2.139688,0.425068,80.412,8.9,67.63352242320452,yolo_192-fp16.tflite_d1_m2_t1.log
45,2.139688,0.425068,80.412,8.6,67.91180562988333,yolo_192-fp16.tflite_d1_m2_t1.log
46,2.139688,0.425068,80.412,8.3,68.17938563630526,yolo_192-fp16.tflite_d1_m2_t1.log
